sulfurID,S_conc_uM,incubationID,sampleID,tripID,depth,startDate,dateCollected,filtered,amendment,incubationTimePoint,treatment,durationInDays
BLI20_TS_050,0,BLI20_MA_029,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.493056
BLI20_TS_050,0,BLI20_MA_029,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.493056
BLI20_TS_051,0.633,BLI20_MA_024,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.48125
BLI20_TS_051,0.633,BLI20_MA_024,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.48125
BLI20_TS_052,0,BLI20_MA_028,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.499306
BLI20_TS_052,0,BLI20_MA_028,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.499306
BLI20_TS_053,2.49,BLI20_MA_030,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.509028
BLI20_TS_053,2.49,BLI20_MA_030,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.509028
BLI20_TS_054,40.6,BLI20_MA_012,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.452083
BLI20_TS_054,40.6,BLI20_MA_012,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.452083
BLI20_TS_055,39.8,BLI20_MA_013,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.4625
BLI20_TS_055,39.8,BLI20_MA_013,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.4625
BLI20_TS_056,41.2,BLI20_MA_017,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.470833
BLI20_TS_056,41.2,BLI20_MA_017,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.470833
BLI20_TS_057,39.7,BLI20_MA_015,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_057,39.7,BLI20_MA_015,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_058,12.7,BLI20_MA_020,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.491667
BLI20_TS_058,12.7,BLI20_MA_020,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.491667
BLI20_TS_059,34.1,BLI20_MA_016,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.483333
BLI20_TS_059,34.1,BLI20_MA_016,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.483333
BLI20_TS_060,37.1,BLI20_MA_014,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.473611
BLI20_TS_060,37.1,BLI20_MA_014,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.473611
BLI20_TS_061,29.9,BLI20_MA_018,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.494444
BLI20_TS_061,29.9,BLI20_MA_018,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.494444
BLI20_TS_062,24.9,BLI20_MA_011,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.474306
BLI20_TS_062,24.9,BLI20_MA_011,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.474306
BLI20_TS_063,8.51,BLI20_MA_019,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.504861
BLI20_TS_063,8.51,BLI20_MA_019,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,yes,unamended,t2,filtered-unamended,3.504861
BLI20_TS_064,61.8,BLI20_MA_006,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.447222
BLI20_TS_064,61.8,BLI20_MA_006,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.447222
BLI20_TS_065,72,BLI20_MA_005,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.452083
BLI20_TS_065,72,BLI20_MA_005,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.452083
BLI20_TS_066,65.2,BLI20_MA_002,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.466667
BLI20_TS_066,65.2,BLI20_MA_002,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.466667
BLI20_TS_067,74.8,BLI20_MA_001,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_067,74.8,BLI20_MA_001,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_068,59.3,BLI20_MA_004,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.470139
BLI20_TS_068,59.3,BLI20_MA_004,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.470139
BLI20_TS_069,73.1,BLI20_MA_007,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.475694
BLI20_TS_069,73.1,BLI20_MA_007,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.475694
BLI20_TS_070,74.7,BLI20_MA_003,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.484722
BLI20_TS_070,74.7,BLI20_MA_003,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t2,unfiltered-unamended,3.484722
