"sampleID","incubationID","startDate","depth","t","treatment","durationInDays","MeHg_198_ppt","HgT_198_ppt","Kmet"
"BLiMMP_sample_0031","BLiMMP_MA_0029","2019-08-30",11.7,"t1","unfiltered-molybdate",0.995833,0.001,0.47055615278139,0.00213403741638804
"BLiMMP_sample_0031","BLiMMP_MA_0030","2019-08-30",11.7,"t1","unfiltered-molybdate",0.993056,0.002,1.08134815480274,0.0018624761171294
"BLiMMP_sample_0031","BLiMMP_MA_0031","2019-08-30",11.7,"t1","unfiltered-molybdate",0.992361,0.001,0.448107268595916,0.00224878700735782
"BLiMMP_sample_0031","BLiMMP_MA_0032","2019-08-30",11.7,"t1","unfiltered-unamended",0.990972,0.002,0.454103116574091,0.00444441013717682
"BLiMMP_sample_0031","BLiMMP_MA_0033","2019-08-30",11.7,"t1","unfiltered-unamended",0.991667,0.001,1.14257158228784,0.000882573169171905
"BLiMMP_sample_0031","BLiMMP_MA_0034","2019-08-30",11.7,"t1","unfiltered-unamended",0.996528,0.001,1.00934997046986,0.000994188464004115
"BLiMMP_sample_0031","BLiMMP_MA_0035","2019-08-30",11.7,"t1","filtered-unamended",0.988889,0.001,0.381051677973806,0.00265380235775707
"BLiMMP_sample_0031","BLiMMP_MA_0036","2019-08-30",11.7,"t1","filtered-unamended",0.988194,0.002,1.08859009392631,0.00185918841716638
"BLiMMP_sample_0031","BLiMMP_MA_0037","2019-08-30",11.7,"t1","filtered-unamended",0.990278,0,0.944576133578499,0
"BLiMMP_sample_0032","BLiMMP_MA_0038","2019-08-30",14,"t1","unfiltered-molybdate",1.027778,0.006,1.0105213884327,0.00577705394702952
"BLiMMP_sample_0032","BLiMMP_MA_0039","2019-08-30",14,"t1","unfiltered-molybdate",1.0125,0.009,0.923568855445807,0.00962450047603458
"BLiMMP_sample_0032","BLiMMP_MA_0040","2019-08-30",14,"t1","unfiltered-molybdate",1.019444,0.003,1.28382777035725,0.00229219264644069
"BLiMMP_sample_0032","BLiMMP_MA_0041","2019-08-30",14,"t1","unfiltered-unamended",1.00625,0.042,0.789654238361234,0.0528574766107805
"BLiMMP_sample_0032","BLiMMP_MA_0042","2019-08-30",14,"t1","unfiltered-unamended",1,0.002,0.802729375554954,0.00249149970202265
"BLiMMP_sample_0032","BLiMMP_MA_0043","2019-08-30",14,"t1","unfiltered-unamended",0.993056,0.034,0.70822912544954,0.0483427547445791
"BLiMMP_sample_0032","BLiMMP_MA_0044","2019-08-30",14,"t1","filtered-unamended",0.975,0.002,0.834422296437348,0.00245832602992539
"BLiMMP_sample_0032","BLiMMP_MA_0045","2019-08-30",14,"t1","filtered-unamended",0.986806,0.006,0.853251485339233,0.00712594417887812
"BLiMMP_sample_0032","BLiMMP_MA_0046","2019-08-30",14,"t1","filtered-unamended",0.978472,0.005,0.660777075230892,0.0077333316322873
"BLiMMP_sample_0033","BLiMMP_MA_0047","2019-08-30",20.1,"t1","unfiltered-molybdate",1.005556,0.014,0.864381869453468,0.0161070543842493
"BLiMMP_sample_0033","BLiMMP_MA_0048","2019-08-30",20.1,"t1","unfiltered-molybdate",0.999306,0.002,1.01699462554713,0.00196794448433221
"BLiMMP_sample_0033","BLiMMP_MA_0049","2019-08-30",20.1,"t1","unfiltered-molybdate",0.990972,0.004,0.81266699279067,0.00496690652513148
"BLiMMP_sample_0033","BLiMMP_MA_0050","2019-08-30",20.1,"t1","unfiltered-unamended",0.982639,0.048,1.04917798022151,0.0465584028015294
"BLiMMP_sample_0033","BLiMMP_MA_0051","2019-08-30",20.1,"t1","unfiltered-unamended",0.990278,0.027,1.65634979958148,0.0164609377966841
"BLiMMP_sample_0033","BLiMMP_MA_0052","2019-08-30",20.1,"t1","unfiltered-unamended",0.967361,0.039,1.633305882967,0.0246836003534918
"BLiMMP_sample_0033","BLiMMP_MA_0053","2019-08-30",20.1,"t1","filtered-unamended",0.977778,0.001,1.18364617813996,0.000864047938630166
"BLiMMP_sample_0033","BLiMMP_MA_0054","2019-08-30",20.1,"t1","filtered-unamended",0.972222,0.011,1.06561483654143,0.0106176152137019
"BLiMMP_sample_0033","BLiMMP_MA_0055","2019-08-30",20.1,"t1","filtered-unamended",1.0125,0.001,0.942965653288136,0.00104739161765191
"BLiMMP_sample_0034","BLiMMP_MA_0057","2019-10-08",16.18,"t1","filtered-unamended",0.957639,0.002,0.800108966097437,0.00261023154583354
"BLiMMP_sample_0034","BLiMMP_MA_0058","2019-10-08",16.18,"t1","filtered-unamended",0.963194,0.001,0.734027079945149,0.0014144061924994
"BLiMMP_sample_0034","BLiMMP_MA_0059","2019-10-08",16.18,"t1","unfiltered-molybdate",0.970139,0.003,0.737871421910238,0.00419089326967175
"BLiMMP_sample_0034","BLiMMP_MA_0060","2019-10-08",16.18,"t1","unfiltered-unamended",0.977778,0.05,0.591186668346268,0.0864978098330764
"BLiMMP_sample_0034","BLiMMP_MA_0063","2019-10-08",16.18,"t1","unfiltered-molybdate",0.988194,0.004,0.695787719447386,0.00581756198651307
"BLiMMP_sample_0034","BLiMMP_MA_0065","2019-10-08",16.18,"t1","unfiltered-unamended",0.908333,0.027,0.749006726150942,0.0396856002924443
"BLiMMP_sample_0035","BLiMMP_MA_0068","2019-10-08",19.3,"t1","unfiltered-unamended",0.861111,0.024,0.721802993782827,0.0386129893866519
"BLiMMP_sample_0035","BLiMMP_MA_0069","2019-10-08",19.3,"t1","filtered-unamended",0.816667,0.004,0.716245549577603,0.00683837712834067
"BLiMMP_sample_0035","BLiMMP_MA_0071","2019-10-08",19.3,"t1","filtered-unamended",0.847917,0.001,0.879245925398651,0.00134133202288735
"BLiMMP_sample_0035","BLiMMP_MA_0072","2019-10-08",19.3,"t1","unfiltered-molybdate",0.820139,0.004,0.896600392329071,0.00543968313376004
"BLiMMP_sample_0035","BLiMMP_MA_0074","2019-10-08",19.3,"t1","unfiltered-unamended",0.854167,0.027,0.947603339390959,0.0333575689827849
"BLiMMP_sample_0035","BLiMMP_MA_0075","2019-10-08",19.3,"t1","unfiltered-molybdate",0.867361,0.003,0.992087561291464,0.00348635301120506
