"incubationID","sampleID","tripID","startDate","dateKilled","timeKilled","depth","t","durationInDays","durationSinceTimepointInDays","filtered","amendment","treatment","MeHg_ambient_ppt","MeHg_198_ppt","MeHg_204_ppt","MeHg_amb_DDL","MeHg_excess_DDL","MeHg_DOA","MeHg_198_above_DDL","bottleID_MeHg","HgT_ambient_ppt","HgT_198_ppt","HgT_204_ppt","HgT_excess_DDL","HgT_DOA","bottleID_HgT","percent_amb_MeHg","percent_198_MeHg","percent_204_MeHg"
"BLI20_MA_019","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:32",15.5,"t2",3.504861,2.674306,"yes","unamended","filtered-unamended",0.274,0.002,0.557,0.092104189997224,0.0034334946377357,2021-01-15,FALSE,"MSC742AV",0.941,0.56,0.765,0.028,"2021-02-19","MSC742AV",29.1179596174283,0.357142857142857,72.8104575163399
"BLI20_MA_020","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","00:21",15.5,"t0",0,0,"yes","unamended","filtered-unamended",0.338,-0.001,0.714,0.092104189997224,0.00423454250938371,2021-01-15,FALSE,"MSC957AR",1.949,0.855,0.843,0.058,"2021-02-19","MSC957AR",17.3422267829656,-0.116959064327485,84.6975088967971
"BLI20_MA_020","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-04","20:47",15.5,"t1",0.851389,0.851389,"yes","unamended","filtered-unamended",0.258,0,0.522,0.23970539711622,0.00378872213825522,2021-01-14,FALSE,"MSC706AV",1.352,0.756,0.829,0.034,"2021-02-20","MSC706AV",19.0828402366864,0,62.9674306393245
"BLI20_MA_020","BLiMMP_sample_0048","BLiMMP_trip_010","2020-09-02","2020-09-07","12:09",15.5,"t2",3.491667,2.640278,"yes","unamended","filtered-unamended",0.169,0.002,0.408,0.23970539711622,0.00248185521689448,2021-01-14,FALSE,"MSC737AV",1.363,0.667,0.748,0.034,"2021-02-20","MSC737AV",12.3991195891416,0.299850074962519,54.5454545454545
"BLI20_MA_021","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-03","23:53",11,"t0",0,0,"no","unamended","unfiltered-unamended",0.137,0,1.1,0.0176288371379414,0.00217041679086044,2020-11-12,FALSE,"MSC962AR",1.809,0.674,1.054,0.056,"2021-02-22","MSC962AR",7.57324488667772,0,104.364326375712
"BLI20_MA_021","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-04","21:00",11,"t1",0.879861,0.879861,"no","unamended","unfiltered-unamended",0.148,0.005,1.024,0.0176288371379414,0.0023442514727399,2020-11-12,TRUE,"MSC710AV",0.92,0.559,0.927,0.031,"2021-02-23","MSC710AV",16.0869565217391,0.894454382826476,110.463861920173
"BLI20_MA_021","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-07","10:38",11,"t2",3.447917,2.568056,"no","unamended","unfiltered-unamended",0.115,0.013,0.875,0.0687739785088757,0.00104833135521698,2021-01-13,TRUE,"MSC593AR",0.828,0.404,0.811,0.018,"2021-02-03","MSC593AR",13.8888888888889,3.21782178217822,107.891491985203
"BLI20_MA_022","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-03","23:48",11,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.138,0.001,1.206,0.092104189997224,0.00172395349967709,2021-01-15,FALSE,"MSC970AR",1.461,0.812,1.169,0.037,"2021-02-20","MSC970AR",9.44558521560575,0.123152709359606,103.165098374679
"BLI20_MA_022","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-04","21:05",11,"t1",0.886806,0.886806,"no","molybdate","unfiltered-molybdate",0.073,0.004,0.881,0.23970539711622,0.00107167113594142,2021-01-14,TRUE,"MSC711AV",0.772,0.611,0.94,0.024,"2021-02-22","MSC711AV",9.4559585492228,0.654664484451719,93.7234042553192
"BLI20_MA_022","BLiMMP_sample_0050","BLiMMP_trip_010","2020-09-02","2020-09-07","10:45",11,"t2",3.45625,2.569444,"no","molybdate","unfiltered-molybdate",0.105,0.005,0.956,0.092104189997224,0.00131841343508217,2021-01-15,TRUE,"MSC594AR",0.777,0.521,0.898,0.023,"2021-02-19","MSC594AR",13.5135135135135,0.959692898272553,106.458797327394
