"uptakeID","sampleID","depth","startDate"
"BLI20_LEU_091","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_092","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_093","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_094","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_095","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_096","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_097","BLiMMP_sample_0062","20.9","2020-10-10"
"BLI20_LEU_098","BLiMMP_sample_0062","20.9","2020-10-10"
"BLI20_LEU_099","BLiMMP_sample_0062","20.9","2020-10-10"
"BLI20_LEU_100","BLiMMP_sample_0062","20.9","2020-10-10"
"BLI20_LEU_101","BLiMMP_sample_0063","17.1","2020-10-10"
"BLI20_LEU_102","BLiMMP_sample_0063","17.1","2020-10-10"
"BLI20_LEU_103","BLiMMP_sample_0063","17.1","2020-10-10"
"BLI20_LEU_104","BLiMMP_sample_0063","17.1","2020-10-10"
"BLI20_LEU_105","BLiMMP_sample_0064","15.7","2020-10-10"
"BLI20_LEU_106","BLiMMP_sample_0064","15.7","2020-10-10"
"BLI20_LEU_107","BLiMMP_sample_0064","15.7","2020-10-10"
"BLI20_LEU_108","BLiMMP_sample_0064","15.7","2020-10-10"
"BLI20_LEU_109","BLiMMP_sample_0065","15.4","2020-10-10"
"BLI20_LEU_110","BLiMMP_sample_0065","15.4","2020-10-10"
"BLI20_LEU_111","BLiMMP_sample_0065","15.4","2020-10-10"
"BLI20_LEU_112","BLiMMP_sample_0065","15.4","2020-10-10"
